State,City
Uttarakhand,Dehradun
Karnataka,Bengaluru Urban
Maharashtra,Nagpur
Tamil Nadu,Villupuram
Maharashtra,Mumbai
Tamil Nadu,Thiruvallur
Andhra Pradesh,East Godavari
Maharashtra,Mumbai
Karnataka,Bengaluru Urban
Tamil Nadu,Erode
Madhya Pradesh,Bhopal
Telangana,Nalgonda
West Bengal,Nadia
Tamil Nadu,Coimbatore
Maharashtra,Mumbai Suburban
Tamil Nadu,Erode
Kerala,Kozhikode
Uttar Pradesh,Amethi
Rajasthan,Jaipur
Maharashtra,Pune
Tamil Nadu,Coimbatore
Tamil Nadu,Salem
Tamil Nadu,Erode
West Bengal,24 Paraganas North
Rajasthan,Jaipur
Maharashtra,Pune
Jammu and Kashmir,Jammu
West Bengal,Purba Bardhaman
Delhi,North
Andhra Pradesh,Krishna
Assam,Kamrup Metro
Tamil Nadu,Erode
Tamil Nadu,Thiruvallur
Uttar Pradesh,Kanpur Nagar
Tamil Nadu,Perambalur
Uttarakhand,Dehradun
Maharashtra,Kolhapur
Tamil Nadu,Virudhunagar
Maharashtra,Pune
Tamil Nadu,Coimbatore
Karnataka,Bengaluru Rural
Gujarat,Surat
Andhra Pradesh,Chittoor
Haryana,Panipat
Madhya Pradesh,Bhopal
Maharashtra,Ahmednagar
Maharashtra,Pune
Karnataka,Bengaluru Urban
Andhra Pradesh,West Godavari
Tamil Nadu,Coimbatore
Uttar Pradesh,Gautam Buddha Nagar
Madhya Pradesh,Gwalior
Tamil Nadu,Thiruvallur
Tamil Nadu,Thiruvallur
Rajasthan,Jaipur
Telangana,Hyderabad
Andhra Pradesh,Y.S.R.
Delhi,Central
Maharashtra,Pune
Tamil Nadu,Coimbatore
Telangana,Rangareddi
Tamil Nadu,Kanniyakumari
West Bengal,24 Paraganas South
Maharashtra,Mumbai
Andhra Pradesh,Eluru
Karnataka,Bengaluru Urban
Maharashtra,Pune
Tamil Nadu,Coimbatore
Gujarat,Rajkot
Rajasthan,Kota
Tamil Nadu,Kanchipuram
Bihar,Bhagalpur
Rajasthan,Jodhpur
Telangana,Hyderabad
Maharashtra,Aurangabad
Maharashtra,Mumbai
Madhya Pradesh,Indore
Madhya Pradesh,Bhopal
Maharashtra,Pune
Tamil Nadu,Kanchipuram
Andhra Pradesh,Visakhapatanam
West Bengal,24 Paraganas North
Gujarat,Gandhinagar
Tamil Nadu,CHENGALPATTU
Maharashtra,Mumbai Suburban
Delhi,North West
Madhya Pradesh,Jabalpur
Maharashtra,Mumbai
Maharashtra,Mumbai
Maharashtra,Nagpur
Tamil Nadu,Kanchipuram
Uttar Pradesh,Ghaziabad
Uttar Pradesh,Ghaziabad
Madhya Pradesh,Indore
Tamil Nadu,Kanchipuram
Haryana,Yamunanagar
Tamil Nadu,Erode
Punjab,Ludhiana
Tamil Nadu,Kanchipuram
Maharashtra,Aurangabad
Maharashtra,Pune
Rajasthan,Ajmer
Tamil Nadu,Erode
Tamil Nadu,Kanchipuram
Madhya Pradesh,Ujjain
West Bengal,Purba Bardhaman
Madhya Pradesh,Indore
West Bengal,Purba Bardhaman
Maharashtra,Nagpur
Andhra Pradesh,Krishna
Karnataka,Belagavi
Punjab,Patiala
Andhra Pradesh,Guntur
Tamil Nadu,Chennai
West Bengal,Nadia
